SLC25A36	1e-13
CCND2	1e-13
TMEM47	1e-13
SLC35D1	1.35098958321661e-11
RDX	1.03983717913148e-08
ALDH3A2	1.66828042385784e-08
SEPT11	5.53071824068902e-08
TMEM123	1.43493734969432e-07
HSDL1	8.60347888974618e-07
ADAM9	3.10670214328626e-06
HLTF	3.48254822537494e-05
CYP21A2	6.63474435801934e-05
HSPE1	0.00067886956120537
MITF	0.000700188754877424
DDR2	0.00100897710986966
MT2A	0.00112061140614608
ITGAV	0.00293112940795486
DNAJC6	0.00490557786867771
RASSF8	0.00837364040825898
EPRS	0.010494081242132
SMS	0.0138923473120356
PAM	0.0138923473120356
CYP17A1	0.0138923473120356
MECP2	0.0147116009881466
FLNA	0.0150221238192081
MOB4	0.0169103509247354
DYNC1H1	0.0178590721164514
DAAM1	0.0200204559962271
PREX1	0.0221699202884883
ATRN	0.0256430978812481
PSAT1	0.0256430978812481
TPBG	0.028035512419164
WNK1	0.0295011922773188
MIER1	0.0328447843331814
PI4KA	0.0328447843331814
GSTA1	0.040719647737181
NDUFA3	0.0415415527390288
PCP4	0.0416426692295032
ATP5I	0.0432972951652232
CLTC	0.0442077222385175
IGF2R	0.0467051250639692
