symbol,log2FoldChange,padj,stat,biotype
PDK4,0.12643423065723916,0.004907344834709662,3.9701043812090475,protein_coding
PRKAR2B,-0.26361607622505284,4.9650763975072636e-14,-8.277585255159464,protein_coding
ASB4,-0.17288778978481703,4.05435828110623e-4,-4.578383526141449,protein_coding
TAC1,-0.5204596427266067,1.9288593996288602e-4,-4.756016171544959,protein_coding
IFRD1,0.39718318998685215,7.425036736571957e-4,4.444084746128525,protein_coding
FAM13B,0.23163069934189942,0.0064563123741938205,3.8766884868324447,protein_coding
HSPA5,-0.1831546820120676,0.0014695985702775937,-4.279109253543055,protein_coding
SNX29,-0.48402036214061644,0.010094649401159426,-3.745543496459182,protein_coding
HERPUD1,-0.2383637404564529,7.543405980488413e-5,-4.964393494860545,protein_coding
KMT2C,0.4346818834676299,1.3425274630748965e-4,4.837444749987686,protein_coding
DCBLD2,-0.3216259182303546,0.006112427892160077,-3.89629744967035,protein_coding
SLC12A2,-0.3255659240832599,0.00539270569408867,-3.938728623621657,protein_coding
NGEF,-0.5137051507650652,0.04511650091835066,-3.2827573979623046,protein_coding
PKM,0.15124989544846237,1.7229934394434514e-5,5.285779368659306,protein_coding
IKBKAP,-0.1820356895333955,2.2537245185022066e-7,-6.078179343538881,protein_coding
SLC44A1,0.27088985818757655,0.006112006104783547,3.898283032249844,protein_coding
HLTF,0.686697737879163,7.496632122226117e-15,8.50503776169807,protein_coding
ALDH3A2,0.42296991124219085,4.582278033068759e-40,13.75070184237046,protein_coding
SREBF1,1.0783510917306345,6.1979808751310995e-27,11.321813142299444,protein_coding
SCARB1,-0.18896870059062706,1.724144222595224e-10,-7.2122471240748975,protein_coding
FSCN1,-0.20765390937531836,1.9424979280551575e-4,-4.752431445338257,protein_coding
FGFR1,0.5070541616500782,3.2517860221313816e-4,4.638603929372502,protein_coding
FDFT1,0.4035866291241018,5.107902285322328e-6,5.523814083765224,protein_coding
ITGB5,-0.7283749365807239,0.003898137890466356,-4.031803089940229,protein_coding
FAT1,0.42740440786938877,6.316652338237869e-8,6.295746072480522,protein_coding
MT3,-0.2721061412385016,6.913208124173037e-4,-4.46141199320444,protein_coding
PAPOLA,-0.18854123793497407,6.135512157054087e-4,-4.488915741929239,protein_coding
P3H2,-0.23214438526915865,1.9442201846734362e-5,-5.260861221073287,protein_coding
RAPGEF4,-0.4415877479378404,4.574616984579915e-8,-6.349141279422423,protein_coding
CBX5,0.15589829668597333,0.047605406907602156,3.2635133084102366,protein_coding
CREM,-0.12661681717995482,0.010094649401159426,-3.7465552227446755,protein_coding
SCD,0.29647305317825456,4.682659115144587e-10,7.057036396324408,protein_coding
TIMP3,-0.14385652948468206,1.4260651097345098e-4,-4.820997755445692,protein_coding
DAAM1,0.9292234128389509,4.836091554796952e-12,7.692999264022574,protein_coding
ARHGAP5,0.36445823457742793,2.5262019991017436e-4,4.694744282042823,protein_coding
DOK5,-0.6755349338008433,6.09099535308945e-9,-6.670594531990345,protein_coding
SMS,-0.2156054100239959,2.085435428420902e-8,-6.4836607970026945,protein_coding
ARMCX3,-0.3218812114507183,3.2525411108884377e-4,-4.636189638619915,protein_coding
STK24,-0.2497502019895964,3.2525411108884377e-4,-4.634127256806316,protein_coding
NUTF2,0.2708420843969038,0.005862967755046584,3.9117252730554473,protein_coding
HSDL1,0.6741994170573954,2.541173252984151e-17,9.151897458505672,protein_coding
ABCC1,0.4460907769111672,0.0303779775761862,3.4089930369400334,protein_coding
LAPTM4B,-0.2291459397268369,0.0010013155352761296,-4.370938877177483,protein_coding
ASAH1,0.3734279582983095,0.010555579137584441,3.7296993626949715,protein_coding
TUBB4A,-0.29142169062994056,0.010504315037404092,-3.733996824307129,protein_coding
SULT2A1,0.4639871641708436,4.05492621612278e-8,6.376199767701418,protein_coding
TFPI2,-0.41860380081004933,4.7396572539028656e-12,-7.700398671032114,protein_coding
TWISTNB,0.34755822538509024,0.00130583159155813,4.309184286685683,protein_coding
HOXA13,-0.3742807245773947,1.442674235201207e-4,-4.816506246845931,protein_coding
TGFBR1,-0.18547885829164742,7.98623154890377e-4,-4.426403544927337,protein_coding
DNMBP,-0.5215891433938925,1.1334477552307945e-4,-4.875484895110324,protein_coding
DKK1,-0.7155953169102125,3.4644994448887016e-5,-5.137061418193288,protein_coding
PPIF,0.2932257698612833,4.52540879093562e-10,7.066056969624909,protein_coding
VAT1,0.22713644606588446,0.0018668418415483663,4.214174756477436,protein_coding
PRKAR1A,0.3025333261928628,5.330812090807776e-16,8.811736627091873,protein_coding
SLC9A3R1,-0.38428234225260566,0.017475028088377944,-3.578002148694639,protein_coding
TRIM2,-0.2758092437607205,0.005867270604062147,-3.9098532869093368,protein_coding
SH2B3,0.964502497931235,6.288900320396081e-6,5.481279955811262,protein_coding
MAN1A1,-0.39405945101332396,0.0018808548428860328,-4.210642731273089,protein_coding
CD83,-0.24737639990007496,3.699441773333945e-9,-6.747258019899379,protein_coding
PTP4A1,-0.1027173901366597,0.03299388012660004,-3.382867293284717,protein_coding
HMGCR,0.17555476520596702,0.04190010355697699,3.306272211916486,protein_coding
ARRDC3,-0.329622905028751,9.800061066079274e-4,-4.378066946133335,protein_coding
GNPDA1,0.32999391844748327,0.023893890537406953,3.485174055316338,protein_coding
